Tesla A100 FP32,19500,1555,10385
RTX A4000,22860,448,1172
RTX 3080,29767,760,1340
Titan RTX FP32,16312,672,3000
Tesla V100 FP32,14000,900,1082
Tesla P100 FP32,9300,732,6030
